timestamp,latitude,longitude,altitude_m,satellites,hdop,speed_knots,pdop,vdop
1760732119,3402.74799 N,08407.11562 W,296.8,08,0.97,1.175,1.71,0.97
1760732120,3402.74805 N,08407.11542 W,296.8,08,0.97,0.585,1.71,0.97
1760732121,3402.74805 N,08407.11541 W,296.9,08,0.97,0.436,1.71,0.97
1760732122,3402.74793 N,08407.11565 W,297.0,08,0.97,0.162,1.71,0.97
1760732123,3402.74775 N,08407.11563 W,297.1,08,0.97,0.123,1.71,0.97
1760732124,3402.74785 N,08407.11561 W,296.9,08,0.97,0.470,1.71,0.97
1760732125,3402.74792 N,08407.11552 W,296.9,08,0.97,0.429,1.71,0.97
1760732126,3402.74803 N,08407.11553 W,296.8,08,0.97,0.342,1.71,0.97
1760732127,3402.74816 N,08407.11553 W,296.8,08,0.97,1.236,1.71,0.97
1760732128,3402.74797 N,08407.11595 W,296.7,08,0.97,1.098,1.71,0.97
1760732129,3402.74802 N,08407.11588 W,296.6,08,0.97,0.736,1.71,0.97
